0,disease_name,description,treatments,causes,severity,specialist,frequency,contagiousness
11,Acute respiratory distress syndrome (ARDS),Acute respiratory distress syndrome (ARDS) is a life-threatening illness that can happen when your lungs are not working properly. ARDS is usually a complication of other serious conditions and is treated in hospital.,"oxygen which you breathe in using a mask
ventilation where a machine is used to breathe for you
medicines such as antibiotics to treat infection
fluids given through a vein
","Acute respiratory distress syndrome (ARDS) usually affects people who are already unwell.
Causes of ARDS can include:
sepsis
infections such as pneumonia
acute pancreatitis
accidentally inhaling vomit or food
drowning
smoke inhalation
severe injuries
having blood transfusions
having a lung transplant",Severe,Pulmonologist,Common,No
12,Addisons disease,Addison's disease also known as primary adrenal insufficiency or hypoadrenalism is a rare disorder of the adrenal glands.,"Addison's disease is treated with medicine to replace the missing hormones. You'll need to take it for the rest of your life.
With treatment symptoms of Addison's disease can largely be controlled. Most people with the condition have a normal lifespan and are able to live an active life with few limitations.
But many people with Addison's disease also find they must learn to manage bouts of fatigue and there may be associated health conditions such as diabetes or an underactive thyroid (hypothyroidism).
People with Addison's disease must be constantly aware of the risk of a sudden worsening of symptoms called an adrenal crisis.
This can happen when the levels of cortisol in your body fall significantly.
An adrenal crisis is a medical emergency. If left untreated it can be fatal.
If you or someone you know has Addison's disease and is experiencing severe symptoms they will need a hydrocortisone injection immediately either injected by themselves or by a person who is with them.
Then call 999 for an ambulance saying it's an ""adrenal crisis"" or ""Addisonian crisis"".
","Addison's disease is usually the result of a problem with the immune system which causes it to attack the outer layer of the adrenal gland (the adrenal cortex) disrupting the production of the steroid hormones aldosterone and cortisol.
It's not clear why this happens but it's responsible for 70% to 90% of cases in the UK.
Other potential causes include conditions that can damage the adrenal glands such as tuberculosis (TB) although this is uncommon in the UK.",Severe,Endocrinologist,Rare,No
13,Adenomyosis,Adenomyosis is a condition where the lining of the womb (uterus) starts growing into the muscle in the wall of the womb. There are treatments that can help with any symptoms.,"the IUS (intrauterine system also called Mirena or hormonal coil) which thins the womb lining making your periods lighter and less painful
other types of hormonal contraception if you cannot or do not want to have an IUS such as the progestogen-only pill the combined pill or the contraceptive patch
medicines such as tranexamic acid or NSAIDs
","It's not clear what causes adenomyosis.
You may be more likely to get it if you are over the age of 30 and have given birth.
Help us improve our website
If you've finished what you're doing please can you answer some questions about your visit today?
Take our survey",Moderate,Gynecologist,Common,No
14,Alcohol misuse,Alcohol misuse is when you drink in a way that's harmful or when you're dependent on alcohol. To keep health risks from alcohol to a low level both men and women are advised not to regularly drink more than 14 units a week.,"counselling â€“ including self-help groups and talking therapies such as cognitive behavioural therapy (CBT)
medicines
detoxification â€“ this involves a nurse or doctor supporting you to safely stop drinking; this can be done by helping you slowly cut down over time or by giving you medicines to prevent withdrawal symptoms
","To keep your risk of alcohol-related harm low:
men and women are advised not to drink more than 14 units of alcohol a week on a regular basis
if you drink as much as 14 units a week it's best to spread this evenly over 3 or more days
if you're trying to reduce the amount of alcohol you drink it's a good idea to have several alcohol-free days each week
if you're pregnant or trying to become pregnant the safest approach is to not drink alcohol at all to keep risks to your baby to a minimum
Regular or frequent drinking means drinking alcohol most days and weeks.
The risk to your health is increased by drinking any amount of alcohol on a regular basis.",Severe,Addiction Specialist,Common,No
15,Alcohol poisoning,Alcohol poisoning can happen when you drink alcohol quicker than your body can process it. It can make you seriously ill and you may need to go to hospital for treatment.,"You'll need to go to hospital to be monitored if you have alcohol poisoning. It can cause serious complications like liver and heart failure which can be fatal.
You may be given fluids which may be given into your veins with a drip. You may also be given help with your breathing until the effects of the alcohol wear off.
","Alcohol poisoning is usually caused by binge drinking which is where you have a lot of alcohol in one drinking session. It can happen when you drink alcohol faster than your body can filter it out of your blood.
Having too much alcohol in your blood stops your body working properly and can be life-threatening.
Alcohol affects people differently. Some people may be able to drink more alcohol than others with fewer effects.",Severe,Emergency Medicine Specialist,Rare,No
16,Alcohol-related liver disease,Alcohol-related liver disease (ARLD) refers to liver damage caused by excess alcohol intake. There are several stages of severity and a range of associated symptoms.,"There's currently no specific medical treatment for ARLD. The main treatment is to stop drinking preferably for the rest of your life.
This reduces the risk of further damage to your liver and gives it the best chance of recovering.
If a person is dependent on alcohol stopping drinking can be very difficult.
But support advice and medical treatment may be available through local alcohol addiction support services.
A liver transplant may be required in severe cases where the liver has stopped functioning and does not improve when you stop drinking alcohol.
You'll only be considered for a liver transplant if you have developed complications of cirrhosis despite having stopped drinking.
All liver transplant units require people with ARLD to not drink alcohol while awaiting the transplant and for the rest of their life.
",,Severe,Hepatologist,Common,No
17,Allergic rhinitis,Allergic rhinitis is where your nose gets irritated by something you're allergic to such as pollen causing sneezing and other symptoms. For most people it's easy to treat with medicines from a pharmacist.,"If pharmacy medicines do not help ease your allergic rhinitis symptoms a GP may prescribe a different medicine such as prescription steroid nasal sprays or antihistamines.
You may be referred to a specialist for further tests and treatment if it's not clear what's causing your symptoms or they're severe.
","Allergic rhinitis is caused by an allergic reaction.
Common allergies include:
pollen from trees grass and weeds (hay fever)
house dust mites
animals such as dogs and cats
mould
wood dust flour dust and latex
You're more likely to get an allergy if people in your family also have them or conditions such as eczema and asthma.
Information:
Allergic rhinitis is different from non-allergic rhinitis which is caused by things like having a cold very hot or cold temperatures and humidity.",Mild,Allergist,Common,No
18,Allergies,An allergy is where your body reacts to something that's normally harmless like pollen dust or animal fur. The symptoms can be mild but for some people they can be very serious.,"trying to avoid the thing you're allergic to whenever possible
medicines for mild allergic reactions like antihistamines steroid tablets and steroid creams
emergency medicines called adrenaline auto-injectors such as an EpiPen for severe allergic reactions
desensitisation (immunotherapy) for severe allergic reactions â€“ this involves carefully exposing you to the thing you're allergic to over time so your body gradually gets used to it and does not react so badly (this should only be done by a medical professional)
","Things that cause allergic reactions are called allergens.
Common allergens include:
tree and grass pollen (hay fever)
house dust mites
foods such as peanuts milk and eggs (food allergy)
animal fur particularly from pets like cats and dogs
insect stings such as bee and wasp stings
certain medicines",Mild,Allergist,Common,No
19,Altitude sickness,Altitude sickness can happen when you're at a high altitude. It usually gets better in a few days with rest but it can sometimes be life-threatening and need treatment.,"steroid medicine
medicine to lower your blood pressure
oxygen through a mask
","You can get altitude sickness if you're in a place that is at a high altitude (usually more than 2500 metres above sea level).
You're more likely to get it if you travel or climb to a high altitude quickly.
You can get it in places like:
Mount Everest in Nepal
Mount Kilimanjaro in Tanzania
some places in the Alps
La Paz in Bolivia
You cannot get altitude sickness in the UK.",Moderate,General Practitioner (GP),Common,No
20,Alzheimers disease,Alzheimer's disease is the most common cause of dementia in the UK.,"There's currently no cure for Alzheimer's disease but medicines are available that can help relieve some of the symptoms.
Various other types of support are also available to help people with Alzheimer's live as independently as possible such as making changes to your home environment so it's easier to move around and remember daily tasks.
Psychological treatments such as cognitive stimulation therapy may also be offered to help support your memory problem solving skills and language ability.
Read more about treating Alzheimer's disease.
",,Severe,Neurologist,Common,No
21,Amyloidosis,Amyloidosis is a group of rare conditions where a protein called amyloid builds up in your body. It can affect organs such as your heart kidneys liver nerves or digestive system. It cannot be cured but there are treatments that may help with symptoms.,"medicines to help with symptoms such as painkillers anti-sickness medicines or medicines that reduce swelling (diuretics)
medicines to reduce the amount of amyloid your body produces
kidney dialysis if your kidneys are not working properly
a kidney transplant or liver transplant if these organs are damaged
chemotherapy to destroy the blood cells in your bone marrow that cause the condition
a stem cell or bone marrow transplant
","There are several types of amyloidosis with different causes.
Causes of the main types of amyloidosis
Type Cause
AL amyloidosis
A problem with your bone marrow. Sometimes linked with multiple myeloma a type of bone marrow cancer.
AA amyloidosis
Long-term inflammatory conditions such as rheumatoid arthritis Crohn's disease or ulcerative colitis or infectious diseases such as tuberculosis (TB).
Hereditary ATTR amyloidosis
An inherited genetic condition.
Wild-type ATTR amyloidosis
Develops as you get older usually affecting men over 75 years old.
Beta-2 microglobulin amyloidosis
Having long-term dialysis.",Severe,Hematologist,Rare,No
22,Anal fissure,An anal fissure is a tear or open sore (ulcer) that develops in the lining of the large intestine near the anus.,"A GP can prescribe medicine to help relieve your symptoms and speed up the healing process.
This can include laxatives to help you poo more easily and painkilling ointment that you put directly on your anus.
Surgery may be recommended in persistent cases of anal fissure where self-help measures and medicine have not helped.
Surgery is often very effective at treating anal fissures but it does carry a small risk of complications such as temporary or permanent loss of bowel control (bowel incontinence).
Anal fissures usually heal within a few weeks without the need for treatment.
But they can easily come back if they're caused by constipation that remains untreated.
In some people symptoms from anal fissures last 6 weeks or more (chronic anal fissures).
","Anal fissures are most commonly caused by damage to the lining of the anus or anal canal the last part of the large intestine.
Most cases occur in people who have constipation when a particularly hard or large poo tears the lining of the anal canal.
Other possible causes of anal fissures include:
persistent diarrhoea
inflammatory bowel disease (IBD) such as Crohn's disease and ulcerative colitis
pregnancy and childbirth
occasionally a sexually transmitted infection (STI) such as syphilis or herpes which can infect and damage the anal canal
having unusually tight anal sphincter muscles which can increase the tension in your anal canal making it more susceptible to tearing
In many cases no clear cause can be identified.",Mild,Colorectal Surgeon,Common,No
23,Anal fistula,An anal fistula is a small tunnel that develops between the end of the bowel and the skin near the opening of the bottom (anus).,"a fistulotomy â€“ a procedure that involves cutting open the whole length of the fistula so it heals into a flat scar
seton procedures â€“ where a piece of surgical thread called a seton is placed in the fistula and left there for several weeks to help it heal before a further procedure is carried out to treat it
","Most anal fistulas develop after an anal abscess. You can get one if the abscess does not heal properly after the pus has drained away.
Less common causes of anal fistulas include:
Crohn's disease â€“ a long-term condition where the digestive system becomes inflamed
diverticulitis â€“ infection of the small pouches that can stick out of the side of the large intestine (colon)
hidradenitis suppurativa â€“ a long-term skin condition that causes abscesses and scarring
infection with tuberculosis (TB) or HIV
a complication of surgery near the anus",Moderate,Colorectal Surgeon,Common,No
24,Anaphylaxis,Anaphylaxis is a life-threatening allergic reaction that happens very quickly. It can be caused by food medicine or insect stings. Call 999 if you think you or someone else is having an anaphylactic reaction.,"adrenaline given by an injection or drip in your vein
oxygen
fluids given by a drip in your vein
","Anaphylaxis happens when your body has a serious reaction to something you're allergic to.
Allergies that can sometimes cause anaphylaxis include:
foods such as nuts cows' milk eggs fish or sesame seeds
medicines such as antibiotics or non-steroidal anti-inflammatory drugs (NSAIDs)
insect stings such as wasp and bee stings
anaesthetics
latex (a type of rubber found in some rubber gloves and condoms)
Sometimes it's not known what caused an anaphylactic reaction.",Severe,Allergist or Emergency Medicine,Rare,No
25,Angina,Angina is chest pain caused by reduced blood flow to the heart muscles. It's not usually life threatening but it's a warning sign that you could be at risk of a heart attack or stroke.,"treat attacks when they happen (only taken when needed)
prevent further attacks
reduce the risk of heart attacks and strokes
","Angina is usually caused by the arteries supplying blood to the heart muscles becoming narrowed by a build-up of fatty substances.
This is called atherosclerosis.
Things that can increase your risk of atherosclerosis include:
an unhealthy diet
a lack of exercise
smoking
increasing age
a family history of atherosclerosis or heart problems
Angina can also be caused by other conditions affecting the heart and arteries.",Severe,Cardiologist,Common,No
26,Angioedema,Angioedema is sudden swelling that is often caused by an allergic reaction. It can be very serious if your throat becomes swollen and your breathing is affected. Treatment can help keep the swelling under control.,"identifying and avoiding the underlying cause â€“ if a medicine is thought to be the cause you may be given a different one to take instead
antihistamine medicine such as cetirizine fexofenadine or loratadine
steroid tablets such as prednisolone
",,Severe,Allergist or Immunologist,Rare,No
27,Ankylosing spondylitis,Ankylosing spondylitis (AS) is a long-term condition in which the spine and other areas of the body become inflamed.,"exercises carried out individually or in groups to reduce pain and stiffness
physiotherapy â€“ where physical methods such as massage and manipulation are used to improve comfort and spinal flexibility
medicine to help relieve pain and reduce inflammation â€“ such as painkillers anti-tumour necrosis factor (TNF) medication and other forms of biological therapy
","It's not known what causes the condition but there's thought to be a link with a particular gene variant known as HLA-B27.
Read about the causes of ankylosing spondylitis.",Severe,Rheumatologist,Common,No
28,Aphasia,Aphasia is when a person has difficulty with their language or speech. It's usually caused by damage to the left side of the brain (for example after a stroke).,"Speech and language therapy is the main type of treatment for people with aphasia.
This aims to help restore some of your ability to communicate as well as help you develop alternative ways of communicating if necessary.
You may receive speech and language therapy on an individual basis or in a group depending on your needs and the service provided.
An increasing number of computer-based applications are available to support people with aphasia.
But it's important to start using these with the assistance of a speech and language therapist.
How successful treatment is differs from person to person. Most people with aphasia make some degree of recovery and some recover fully.
If the aphasia is caused by a one-off event like a stroke most patients recover to some degree with therapy. There's no evidence to suggest that recovery stops at a specific time after stroke.
But the chance of recovery is poorer for people with aphasia resulting from a progressive neurological condition.
Some people can still respond to therapy but there are currently no good ways of reversing the ongoing injury to the brain.
When aphasia is caused by a progressive condition treatment focuses on making the most of what people can still do and developing other ways of communicating to prepare for a time when speaking will be more difficult.
Read more about treating aphasia.
","Aphasia is caused by damage to parts of the brain responsible for understanding and producing language.
Common causes include:
stroke â€“ the most common cause of aphasia
severe head injury
a brain tumour
progressive neurological conditions â€“ conditions that cause the brain and nervous system to become damaged over time such as dementia
Aphasia can affect people of all ages but it's most common in people over the age of 65. This is because strokes and progressive neurological conditions tend to affect older adults.",Moderate,Speech Therapist,Rare,No
29,Arterial thrombosis,Arterial thrombosis is a blood clot in an artery which can be very serious because it can stop blood reaching important organs.,"injections of a medicine called a thrombolytic which can dissolve some blood clots
an operation to remove the clot (embolectomy)
an operation to widen the affected artery â€“ for example an angioplasty (where a hollow tube is placed inside the artery to hold it open)
surgery to divert blood around the blocked artery â€“ for example a coronary artery bypass graft (where a blood vessel taken from another part of the body is used to bypass a blockage in the artery that supplies the heart muscle)
","A blood clot does not usually have any symptoms until it blocks the flow of blood to part of the body.
This can cause several serious problems including:
a heart attack when blood flow to the heart muscle is suddenly blocked causing chest pain shortness of breath and dizziness
a stroke when blood flow to the brain is cut off; the main symptoms are one side of the face dropping weakness in one side of the body and slurred speech
a transient ischaemic attack (TIA) or ""mini-stroke"" when blood flow to the brain is temporarily blocked causing short-lived stroke symptoms
critical limb ischaemia (a complication of peripheral arterial disease) when the blood supply to a limb is blocked causing it to become painful discoloured (either pale or blue) and cold
These conditions are all medical emergencies. Get medical help straight away by calling 999 if you or someone in your care is experiencing these symptoms.",Severe,Vascular Surgeon,Rare,No
30,Arthritis,Arthritis is a common condition that causes pain and inflammation in a joint.,"ask the reception staff at your GP surgery
check your GP surgery's website
contact your integrated care board (ICB) â€“ find your local ICB
search online for NHS treatment for arthritis near you
",,Moderate,Rheumatologist,Common,No
31,Asbestosis,Asbestosis is a rare but serious lung condition that affects people exposed to asbestos (a building material used from the 1950s to the 1990s). It cannot be cured but treatment may improve the symptoms.,"pulmonary rehabilitation â€“ a programme of exercises and education to help manage your symptoms
oxygen therapy â€“ breathing in oxygen-rich air from a machine or tank to help improve breathlessness if your blood oxygen levels are low
using an inhaler to ease breathing (if your symptoms are mild)
","Asbestosis is caused by exposure to asbestos.
You may have been exposed to asbestos if you worked in an industry such as building or construction particularly from the 1950s to the 1990s.
You could be exposed to asbestos today if your job involves working in certain roles in old buildings.
Examples include:
heating and ventilation engineers
demolition workers
plumbers
construction workers
electricians",Severe,Pulmonologist,Rare,No
32,Aspergillosis,Aspergillosis is a condition caused by aspergillus mould. There are several different types of aspergillosis. Most affect the lungs and cause breathing difficulties.,"Treatment usually helps control the symptoms. If it's not treated or well controlled there's a risk it could damage your lungs.
","Aspergillosis is usually caused by inhaling tiny bits of mould. The mould is found in lots of places including:
soil compost and rotting leaves
plants trees and crops
dust
damp buildings
air conditioning systems
You cannot catch aspergillosis from someone else or from animals.
Information:
Most people who breathe in the mould do not get ill.",Severe,Infectious Disease Specialist,Rare,No
33,Asthma,Asthma is a common lung condition that causes occasional breathing difficulties.,"reliever inhalers â€“ used when needed to quickly relieve asthma symptoms for a short time
preventer inhalers â€“ used every day to prevent asthma symptoms happening
","Asthma is caused by swelling (inflammation) of the breathing tubes that carry air in and out of the lungs. This makes the tubes highly sensitive so they temporarily narrow.
It may happen randomly or after exposure to a trigger.
Common asthma triggers include:
allergies (to house dust mites animal fur or pollen for example)
smoke pollution and cold air
exercise
infections like colds or flu
Identifying and avoiding your asthma triggers can help you keep your symptoms under control.",Moderate,Pulmonologist,Common,No
34,Atherosclerosis,Atherosclerosis is where your arteries become narrowed making it difficult for blood to flow through them. It increases your risk of heart attack and stroke.,"lower your cholesterol (statins)
lower your blood pressure
lower your risk of blood clots
lower your blood sugar levels if you have diabetes
","Atherosclerosis happens when fatty deposits build up in the arteries which causes them to narrow.
Things that increase your chances of getting atherosclerosis include:
being over 65 years of age
smoking
having high cholesterol
having high blood pressure
having close relatives who have cardiovascular disease",Severe,Cardiologist or Vascular Surgeon,Common,No
35,Auditory processing disorder (APD),Auditory processing disorder (APD) is where you have difficulty understanding sounds including spoken words. There are things you can do that can help.,"There's no cure for auditory processing disorder (APD) but there are things that can help.
Treatment usually involves activities to improve listening and concentration. This is called auditory training. You can do it with a hearing specialist or in your own time online.
To reduce background noise schoolchildren with APD may be advised to wear a wireless earpiece that connects to a tiny microphone worn by their teacher.
","It's not always clear what causes auditory processing disorder (APD).
Possible causes include:
regular ear infections
genetics
head injury
complications at birth
APD is often found in people with attention language and learning difficulties such as dyslexia and attention deficit hyperactivity disorder (ADHD).",Moderate,Audiologist,Rare,No
